Func / Command	TYPE	HOT LOGO				MSX LOGO		BASIC EQUIVALENT	OBS
COMMAND	TURTLE	paradireita	pd	NUMERO		right	rt		
COMMAND	TURTLE	paraesquerda	pe	NUMERO		left	lt		
COMMAND	TURTLE	parafrente	pf	NUMERO		forward	fd		
COMMAND	TURTLE	paratrás	pt	NUMERO		back	bk		
COMMAND	PROG	pare				stop		END	
COMMAND	GRAPHIC	pinte				fill		PAINT	
COMMAND	INPUT?	ponha		OBJETO					
COMMAND	SCREEN	ponhaponto	pp	[X Y]		dot		PSET	
FUNCTION	TURTLE	posição	pos		[X Y]	pos			
FUNCTION		primeiro	pri	OBJETO		first			
COMMAND	PROG	primitivas				primitives			
FUNCTION	MATH	produto		NUMERO1 NUMER2	NUMERO	product		NUM1 * NUM2	
FUNCTION	TURTLE	proporção			NUMBER				
FUNCTION	VARIABLE	propriedade	prop	NOME PROP					
COMMAND	INTERRUPT	quando		OCORRENCIANUMERO LISTAINSTRUCOES		when		ON INTERVAL GOSUB	
FUNCTION	TURTLE	quem			LIST	who			
FUNCTION	MATH	quociente		NUMER1 NUMER2	NUMERO	quotient		NUM1 / NUM2	
FUNCTION	MATH	raiz	rq	NUMERO	NUMERO	sqrt		SQR	
COMMAND	FLOW	repita		NUMERO LISTAINSTRUCOES		repeat		FOR X=1 TO ....	
FUNCTION		reproduza			LIST				
FUNCTION	MATH	resto		NUMERO1 NUMER2	NUMERO			MOD	
		retireprop		NOME PROP					
		retiretodasprop							
		rg				rg			
		sãoiguais		OBJETO1 OBJETO2		equalp		 =	
FUNCTION	FLOW	se		PRED LISTA1 LISTA2		if			
COMMAND	PRINTER	semimpressora				noprinter			
		semprimeiro	sp	OBJETO		butfirst	bf		
		semúltimo	su	OBJETO		butlast	bl		
FUNCTION	MATH	sen		NUMERO	NUMERO	sin		SIN	
		sentença	sn	OBJETO1 OBJETO2		sentence			
COMMAND	SOUND	som		TOM VOLUME TEMPO		noise			
FUNCTION	MATH	soma		NUMERO1 NUMERO2	NUMERO	sum		NUM1 + NUM2	
FUNCTION	MATH	sorteieaté		NUMERO	NUMERO	random		RND	
	TURTLE	sótat		TARTARUGANUMERO LISTA | LISTANUMEROTARTARUGA LISTA 					
	TURTLE	tartaruga	tat						
		temcar				keyp			
		temvalor		NOME					
		texto		NOME		text			
COMMAND	SCREEN	tirelimite	tl						aumentelimite
FUNCTION	TURTLE	todas							
		todasprop		NOME					
COMMAND	SOUND	toque		CANAL FREQUENCIA VOLUME TEMPO		toot			
FUNCTION	MATH	troquesinal		NUMERO | NOME	NUMERO	minus		NUM * -1	
COMMAND	GRAPHIC	useborracha	ub						
COMMAND	GRAPHIC	useinversor	ui						
COMMAND	GRAPHIC	uselápis	ul			pendown			
COMMAND	GRAPHIC	usenada	un			penup			
FUNCTION		vel				speed			
FUNCTION		velx				xvel			
FUNCTION		vely				yvel			
	BOOLEAN	verd				true			
COMMAND		versão				version			
		último	ult	OBJETO		last			
FUNCTION	INPUT	ébotão		JOYSTICKNUMERO		buttonp			
FUNCTION	INPUT	éjoy		JOYSTICKNUMERO		joyp			
FUNCTION		élista		OBJETO		listp			
FUNCTION		énumero		OBJETO		numberp			
FUNCTION		épalavra		OBJETO		wordp			
FUNCTION		éprimitiva		OBJETO		primitivep			
FUNCTION		éprocedimento		NOME					
FUNCTION		évazia		OBJETO		emptyp			
FUNCTION		évisível							
FUNCTION	MEMORY	.entra		PORTA	NUMERO	.in		IN	
COMMAND	MEMORY	.sai		PORTA DEC		.out		OUT	
COMMAND	MEMORY	.chame		ENDERECO		.call		DEFUSR1 ... ? USR1..	
COMMAND	MEMORY	.deposite		ENDERECO DEC		.deposit		POKE	
FUNCTION	MEMORY	.examine		ENDERECO	NUMERO	.examine		PEEK	
